,눈썹_길이,눈썹_굵기,눈썹_기울기,눈_세로길이,눈_가로길이,비율,눈_눈꼬리기울기,얼굴비율,코_길이,코_폭,콧볼_폭,입_크기,입_윗입술(두께),입_아랫입술(두께),입_입꼬리,턱기울기1,턱기울기2,턱아래면적
1349,73.0,8.0,0.012987012987012988,35.333333333333336,47.0,0.7517730496453902,0.0,0.9053030303030303,84,47,66,1620.24,8.33,12.33,0.14,2.40471104768591,0.508186158116426,0.677315643294779
1350,63.0,7.833333333333334,0.0,27.666666666666664,38.0,0.7280701754385964,-0.023562023562023554,0.8333333333333334,75,39,54,1387.88,10.33,12.67,0.03,2.56795300535556,0.342873256379540,0.472273068005844
1351,63.5,8.0,0.05970149253731343,27.666666666666664,39.0,0.7094017094017093,0.025641025641025633,0.859504132231405,77,40,57,1312.52,7.67,11.33,0.11,2.45173821922167,0.411762737654352,0.499921192408191
1352,65.0,7.833333333333334,0.08333333333333333,25.166666666666668,40.0,0.6291666666666667,-0.00250156347717323,0.8782608695652174,71,41,59,1398.87,9.33,12.67,0.03,2.39608929083873,0.570626987517797,0.476767157975619
1353,58.0,7.333333333333333,0.03278688524590164,25.166666666666668,36.5,0.6894977168949772,-0.014639639639639636,0.8370044052863436,69,40,54,1456.96,11.0,12.67,0.0,2.57055804110244,0.431952633911996,0.416446060061841
1354,67.0,8.166666666666668,0.05714285714285714,28.333333333333332,41.0,0.6910569105691057,0.0,0.833976833976834,77,43,60,1776.46,10.67,13.67,0.03,2.61523911211506,0.468343466341467,0.561492412941825
1355,76.0,8.333333333333334,0.04938271604938271,20.666666666666664,47.5,0.4350877192982456,-0.0006648936170212741,0.9382239382239382,78,52,73,2817.37,8.33,14.67,0.15,1.98513862146914,0.564488049006650,0.763820175385349
1356,64.0,8.0,0.11864406779661017,29.0,40.5,0.7160493827160493,0.01927784577723378,0.7831325301204819,76,42,57,1601.4,10.33,14.33,0.05,2.70499561668662,0.625939247147566,0.546890569029014
1357,65.0,7.666666666666667,0.0,32.5,39.5,0.8227848101265823,0.0012820512820512775,0.8458498023715415,77,40,55,1581.78,11.0,13.33,-0.06,2.58564029759970,0.365955137244440,0.502213600828660
1358,66.0,7.5,0.04285714285714286,26.0,40.0,0.65,0.012500000000000004,0.9772727272727273,65,42,59,1318.02,8.0,10.33,-0.03,2.13667028557722,0.294508277369341,0.428764085698059
1359,64.5,6.666666666666667,0.014285714285714285,22.333333333333332,38.5,0.5800865800865801,-0.0006747638326585689,0.9537037037037037,61,43,61,1452.25,9.0,11.33,0.0,2.26124866363633,0.363591987409573,0.404137894105120
1360,66.0,7.333333333333333,0.05970149253731343,23.666666666666668,41.0,0.5772357723577236,-0.010714285714285711,0.9459459459459459,62,44,61,1707.38,10.0,12.33,-0.03,2.24497703121361,0.341199108241025,0.461422775200271
1361,61.0,7.0,0.0,28.0,38.0,0.7368421052631579,0.0,0.8658008658008658,68,39,54,1373.75,9.33,12.33,0.0,2.58667987576243,0.379745202382206,0.425476589191301
